lower_relations,count
abandon,3
abandonment of,1
abolish,2
accede to pressure from,1
accelerate,1
accept,19
accept as,1
accept with,1
accepted as,1
accepts,1
access,1
accessing,1
accommodate,1
accompanied,2
accuse,26
accused,1
accused in,1
accused of,2
achieve,4
achieved,2
acknowledge,8
acquiesce,1
acquire,6
acquired,2
acquit,8
act as checks on,1
acted as,1
adapt,1
add,1
address,12
addressed,1
adjacent to,1
administer,2
admire,1
admit,6
adopt,6
advance,2
advance on,1
advance to,2
adversely affect,1
advise,5
advised against,1
advisor,1
advocate,15
advocate for,8
advocated,1
affect,1
affirm,1
against,5
aggravate,1
agree,4
agree to,4
agree to run for,1
agree to withdraw,1
agree to work,1
aim to comply with,1
alert,1
align,3
allege,5
allow,12
allowed release,1
allowing,1
allude to,1
analyses,3
analyze,2
annex,8
announce,200
answer,2
antagonize,1
anti,2
apologize for,1
apologize to,1
appeal,2
appeal for,1
appeal to,2
appealed,2
appealed to,1
appear,7
appear at,3
appear in,3
appear on,4
appearances on,13
apply,1
apply to,1
appoint,69
appoint as,1
appointed,2
appointed as,1
approach,1
approached,1
approve,20
argue,18
argue against,1
argue for,1
arise,4
arm and train,1
arouse,2
arrange,1
arrest warrant,1
arrested by,1
arrive in,1
ask,15
ask about,2
assassination,1
assemble,1
assert,8
assert right to intervene,1
assess,2
assign,7
assigned to,9
assist,5
assume,2
assume ownership,1
assumed,1
assumed position,1
assumes,1
assured of,1
attack,9
attempt,4
attempt occupation,1
attempted rollback halted by,1
attempted to recruit,2
attend,38
attends,1
attract,1
attribute,2
auctioned,1
author,3
authorize,13
average,2
avert,2
avoid,5
avoid mention of,1
avoided discussions about,1
award,7
awarded,1
aware of,2
back,4
back down,2
backed,1
balance,1
ban,16
baptize,1
bar,4
bask in,1
be active in,1
be at odds with,1
be critical of,1
be good for,1
be in,1
be with,1
be worth,2
became,5
became active in,1
become,35
become effective,1
begin,9
begin career in,2
begin construction in,1
believe,3
believe in,3
belonging to,1
benefit from,1
bill,1
blame,8
blind to,1
block,8
blocked,1
bolster,1
boost,2
born in,16
born on,1
borrow,1
bought,1
break,2
bring,4
bring in,1
bring into violation,1
broke,2
build,14
built for,1
burnt,1
business associate of,1
buy,2
call,19
call for,21
call for end,1
call for resignation,2
call for restrictions on,1
call on,6
campaign,1
campaign against,1
campaign for,4
campaigned for,1
campaigns against,1
cancel,3
capitalize on,1
capture,1
care,1
cared by,1
carry,1
carry out,1
cast,3
cast vote in support of,1
categorize,1
cause,11
caused,1
cease,1
celebrate,1
cement,1
centralise,1
certified,1
chair,5
change,7
characterize,7
characterized by,5
charge,10
charge with,3
charged with,2
cheat,1
check,1
child of,2
choose,4
circumvention,1
cite,4
cited,1
claim,9
claim responsibility for,1
clarify,1
classify,4
clear,1
cleared,1
clerk for,18
clerked at,1
close,2
co-authored,1
co-found,1
co-founded,1
co-host,1
co-opt,1
co-produce,1
co-producer,1
co-sponsor,4
coalesce around,1
codify,3
cofound,1
coincide with,1
collaborate,3
collaborate closely with,1
collapse,3
collect,1
collected,2
combat,3
combine,1
combine with,1
come from,5
commence,2
commend,1
comment on,3
commentary in,1
commission,3
commit,4
commit to,1
committed to,1
communicate,5
communicate with,1
commute,1
compare,1
compare to,1
compete,1
compete against,1
compete for,2
complete,4
complete denuclearization,1
comply,1
comply with,1
compose,12
composed of,1
compromise,1
concede,1
concede to,1
concern,17
concerned about,1
concerned with,3
conclude,7
condemn,15
condemned as,1
conduct,10
conducted by,1
confident in,1
confirm,21
confirms,1
conflict,2
conflict with,1
confront,2
confronted by,1
congratulate,1
connect with,1
consider,12
considered,1
considers,1
consist of,9
consists of,1
consolidate,1
construct,1
consult,1
consultant,1
consultant to,1
consummate,1
contact,2
contain,4
contemplated,2
contend,1
continue,2
contradict,7
contrast,1
contribute to,3
contributed to,1
control,55
convene,1
convert,1
convict,3
convicted of,1
convince,5
cooperate,1
copy,1
correlate,1
cosponsor,1
cost,1
could build,1
count,1
counted on,1
countered,1
countersue,1
countersued,1
cover,2
cover up,1
create,30
created,2
credit,3
credits,3
criminalize,1
criticism of,1
criticize,54
criticizes,1
critique,2
cross,1
cultivate,2
curate,1
cut,3
cut back,1
cut out,1
cut ties with,1
damage,3
date,4
decide,13
declare,15
declare independence,4
declare unconstitutional,1
declared,2
decline,16
decline in support for,1
decorated with,2
decrease,10
deem,1
deepen,1
default,1
defeat,13
defeated,6
defeated by,1
defeated in,1
defeating,1
defend,10
defended,1
defender of,1
defer,1
define,4
defraud,3
delay,2
delegate,1
delete,2
deliver,11
delivered,3
demand,2
demand investigation,2
demand resignation,1
denied,1
denigrate,1
denounce,3
deny,13
deny entry to,7
deplete,1
deploy,5
derail,2
deregulate,1
descend from,1
descended from,1
describe,21
describe as,9
described as,1
design,2
designate,1
desire,1
despise,1
destroy,1
detain,1
determine,4
develop,10
developed,2
deviate from,1
dictate,1
did well in,1
die in,1
direct,7
disable,1
disagree with,1
disappeared on,1
disapprove,3
disburse,1
discipline,1
disclose,5
discourage,1
discover,5
discredit,1
discuss,13
disdain,1
disliked,1
dismiss,9
dismissed,1
disparage,3
dispatch,2
dispute,5
disputed,1
disqualify,1
disregard,1
disrupt,1
dissolve,1
distant from,1
distribute,3
divert,1
divide,5
divide into,1
divide on,2
divorce,1
do better among,2
document,1
dominance of,1
dominate,4
dominated,1
donate,1
donated to,1
donations,1
double,1
downplay,4
draft,1
drag,1
draw,3
draw upon,3
drive,1
drop,3
drop out,2
earn,10
earned,3
echo,3
elect,1
elected,6
elected as,3
elected to,1
elects,1
elevate,3
eliminate,4
embark on,1
embrace,1
emerge from,1
emigrate,2
emigrated from,1
emigrated to,1
emphasis,1
emphasis on,2
emphasize,5
employ,1
employed at,1
empower,1
enact,5
encourage,10
encourages,1
end,24
endorse,28
enforce,1
enforced by,1
engage,2
engage in,13
engender,1
enlisted,1
enroll,2
enrolled in,1
ensure,1
ensuring,1
enter,1
entered,2
entrance into,1
envelop,1
equity stake,1
erase,1
erode,1
escalate,3
establish,23
estimate,4
evade,1
examine,3
exceed,1
exchange,1
exclude,1
execute,1
exemplify,1
exempt,1
exercise,1
exit,1
exonerate,1
expand,19
expand at,2
expand lead,1
expand upon,1
expect,1
expel,3
experience,2
explain,1
export,1
expose,1
express,9
express admiration for,1
express desire,1
express gratitude to,1
express support for,2
express willingness,1
expressed support for,2
expunge,1
extend,5
extensive,1
face,5
face off with,1
face opposition from,1
faced,1
faced criticism,1
faces,1
facilitate,2
facilitates,1
fail,4
fail to gain approval from,1
fail to produce,1
failed to protect,1
failure to prevent,1
falter,1
fan of,2
favor,9
fear,2
feature,4
featured in,1
federalize,1
fell,2
fight,3
file,17
file complaint,1
file complaint against,1
file for,9
file for bankruptcy,7
filed for,1
filed suit against,1
filled,1
finance,1
find,13
fine,1
finish,5
finish behind,1
fire,4
first lady of,3
flee,1
flower,1
fly,3
focus,1
focus on,17
fold,1
follow,6
following,1
for,1
force,2
forced by,1
forge,2
forged,1
form,3
formalize,1
formed,2
formulate,1
forward,1
foster,1
fought against,1
found,4
found guilty on,1
found liable for,1
frame,1
friend of,1
friend with,1
friendship,2
frustrate,1
fund,1
furnish,1
gain,12
gain influence,1
garner,1
gather,1
gathered in,2
gave,1
gave up,1
generate,2
give,17
give birth,2
give eulogy,1
give speech at,1
give up,1
gives power to,1
go along with,1
go bankrupt,1
governed by,1
graduate,1
graduate from,7
graduate in,1
graduate of,2
graduate student at,1
graduated from,1
grant,10
grapple with,1
greet,1
grow,3
grow faster than,1
growing emissions,1
guarantee,5
guaranteed,1
guarded by,1
guest appearances on,1
guide,3
hack,1
had,2
hail,5
halt,2
halve,1
hand over to,1
handle,2
handled,1
has,263
has ancestor,1
has seniority over,1
have,6
have favorable views,1
have right to,1
headquarters in,2
hear,1
hear about,1
held,2
held titles of,1
help,10
help pass,1
helped,1
hide,1
higher than,1
highlight,2
hire,5
hired,4
hires,3
hobble,1
hold,13
honeymoon at,2
honor,2
hope,2
hospitalized at,1
hospitalized for,1
host,10
hosts,1
hurt,2
identify,4
identify as,1
ignore,3
illustrate,2
impact,344
impeach,5
implement,6
imply,1
impose,7
impose limitations on,3
improve,4
incensed by,1
include,24
incorporate,3
increase,34
indicate,8
indict,6
indicted on,1
influence,3
inform,4
inherit,1
inhibit,1
initiate,5
injured in confrontations with,1
insist,1
insist on leading,1
inspect,1
instruct,3
insured,1
intensify,1
intercept,1
interested in,1
interfere,2
intern,3
interpret,5
intervene,2
intervene in,1
intervention,1
interview,5
intimidate,1
introduce,53
introduce to,1
introduced,1
invade,5
invalidate,1
invasion,1
invest,1
investigate,33
investigated by,1
invests in,10
invite,2
invited,1
invited to speak at,2
involve,1
involved,1
involved in,5
involved with,1
is,13
is candidate in,1
is child of,2
is different from,1
is first without,1
is grandchild of,1
is located in,1
is member of,159
is replaced by,1
is sibling of,2
issue,17
issued,1
join,19
joke,1
justify,3
juxtapose,1
keep,1
kill,5
killed,2
killed by,2
know,1
label,1
lack,2
lack authority,1
laugh,1
launch,19
lay groundwork for,1
lead,23
lead to,9
leader of,1
leading foreign policy figure,1
learn,2
learned of,1
leave,13
led,1
left office without,1
legalized,1
lend,2
lend name to,1
lessen,1
leverage,1
liberate,1
license,1
lied,1
lied to,2
lift,3
like,1
likened,2
likened to,1
limit,8
link to,2
liquidated,1
list,7
litigate,1
live,5
live at,1
live in,6
live with,1
loaning money to,1
lobby,1
lobby against,1
locate in,2
lose,18
lose to,2
loss,1
lost,2
lower,1
made,3
mainstream of,1
maintain,14
make,14
make gains in,1
make progress,1
make public,1
make trips,1
manage,10
mandate,2
manipulate,1
mark,5
mark as,1
married,4
married at,2
married in,3
married on,1
married to,4
marry,5
measure,2
mediates,1
meet,34
meet at,1
meet with,2
meeting,1
member of,1
mentions,1
mentor,2
merge,1
met,5
met in,1
minimize,1
mirror,1
misattribute,1
miscast,1
mischaracterize,2
mishandle,5
misrepresent,1
misuse,1
mitigate,1
mobilize,1
modernize,1
monitor,2
move,9
move closer to,1
move from,1
move in,1
move quickly,1
move to,10
moved to,2
murder,1
name,5
named,4
need,2
negative impact on,46
negotiate,7
negotiate with,1
net worth,1
never used,3
no nominee for,1
nominate,28
nominated,2
nominated by,1
nomination,1
normalize relations,1
not advocate,1
not aware of,1
not confirm,1
not do business,1
not eligible for,1
not engage,2
not greet,1
not ratify,1
not release,3
not secure,1
note,6
noted,1
notice,2
notify,6
nurture,1
observe,8
obstruct,2
obtain,9
obtained,2
occur,1
offer,2
offshore,1
open,11
open to,1
open up,1
opened,1
operate in,34
oppose,42
opposed,4
opted for,1
order,25
ordered by,1
ordered to pay,2
organize,11
originate from,1
oust,2
outline,3
outpaced,1
overcome,3
overestimate,1
overhaul,1
oversee,8
overtake,1
overthrown,1
overturn,6
overturned by,7
owe,3
own,8
pack,1
pardon,2
part of,1
partially close,1
participate,1
participate in,5
participated in,3
participates in,233
partner with,1
partner-in-charge,1
partnership with,1
pass,25
pass to,1
pay,6
perception of,1
perform better in,1
performance on,1
permit,2
persecute,2
persuade,6
persuading,1
pick up,1
place,5
place at apex of,1
plan,5
plan for,1
plant,1
play,2
play key role in,1
play role in,3
plead,2
plead guilty to,2
pledge,10
points to,1
poisoned with,1
polarize,1
pollute,1
portray,3
pose with,1
positive impact on,20
possess,1
posted,1
postpone,1
practice,2
practicing,1
practise,1
praise,10
precede,3
predict,2
prefer,1
preferred,1
prefers,1
prejudice,1
prepare for,2
presence,1
present,8
presented,1
preside over,5
president of,1
press,2
pressure,8
pressured,5
pretend,1
prevent,7
previous marriage,1
prioritize,2
probes,1
process,2
produce,60
profit from,3
prohibit,8
promise,8
promote,43
prompt,1
proponent of,1
propose,24
propose to,3
proposed,1
proposing,1
prosecute,22
protect,8
protest,1
protest against,1
prove,1
prove to be,1
provide,23
provide protection for,1
publicize,1
publish,28
published,1
pull back,2
punish,1
purchase,7
pursue,2
push,3
push for,1
put,1
put in,1
quadruple,1
quantify,1
question,10
raise,34
raise questions about,3
raised in,1
rally around,1
ran against,1
ran for,2
rank,17
rank among,1
ranks,1
rate,3
rated as,3
ratify,2
re-elected,2
re-election,1
re-establish,1
reach,7
reach out to,2
react,2
read,1
ready for,1
reaffirm,1
realize,1
reassert,1
reassign,1
reauthorize,1
rebelled against,2
rebound,1
rebuild,1
rebuke,1
recall,1
recede,1
receive,61
receive help from,2
reciprocate touch,1
reclassify,1
recognize,8
recommend,5
recommended,1
reconnect,1
reconsider,1
recover,2
recruit,3
recruited,2
recruited to,2
redeploy,1
reduce,14
reelected,3
reelected to,1
reenter,1
reevaluate,1
refer,4
refer to,3
reflect,1
reform,2
refrain from,1
reframe,1
refuse,6
refused to ratify,1
refute,1
regain,1
regard as,2
regarded,1
regarded as,2
regarding,1
register,5
regret,1
regulate,2
reimburse,1
reinforces,1
reinstate,1
reiterated,1
reject,10
rejected by,2
rejects,1
rejoin,1
relate to,115
related to,2
relax,1
release,24
relies on,1
relocate to,1
reluctant to become involved,1
reluctant to implement,1
rely on,3
remain,4
remain defiant about,1
remain head of,1
remain in,1
remain in touch with,1
remained higher than,1
remake,1
remand,1
remove,6
rename,3
renew,1
renovate,2
reopen,2
reorganise,3
reorient,4
repay,1
repeal,3
repeat,1
replace,15
replaced,1
replaced by,1
report,22
reported,1
represent,6
represented,1
represents,1
request,10
require,5
reside in,1
resign,14
resign from,5
resigning in,1
