idx,subject_type,subject,relation,object_type,object,input,wiki_page
7,,,,,,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,PRODUCT,48-acre hilltop estate,Loves,GEOPOLITICAL ENTITY,Calif.,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,PRODUCT,48-acre hilltop estate,OPERATE_IN,GEOPOLITICAL ENTITY,Silicon Valley,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,PERSON,Bob Fenwick,IS_MEMBER_OF,COMPANY,BR Communications,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,COMPANY,BR Communications,PRODUCE,PRODUCT,military-communications equipment,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,PRODUCT,48-acre hilltop estate,ANNounce,EVENT,list for $30 million,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,PRODUCT,48-acre hilltop estate,OPERATE_IN,EVENT,dairy farm,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,COMPANY,BR Communications,OPERATE_IN,GEOPOLITICAL ENTITY,Silicon Valley,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,COMPANY,BR Communications,OPERATE_IN,EVENT,designer,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,COMPANY,BR Communications,OPERATE_IN,EVENT,manufacturer,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,Trump,BR Communications,Trump,EVENT,seller,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
