idx,subject,subject_type,relation,object,input,object_type,wiki_page
2,Novartis,ORG,Announce,Elizabeth Barrett,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",PERSON,
2,Novartis,ORG,Operate_In,Oncology,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",SECTOR,
2,Elizabeth Barrett,PERSON,Has,Global President Oncology,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",ORG,
2,Elizabeth Barrett,PERSON,Raise,CEO Novartis Oncology,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",ORG,
2,Elizabeth Barrett,PERSON,Is_Member_Of,Executive Committee,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",ORG,
2,Bruno Strigini,PERSON,Decrease,CEO Novartis Oncology,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",ORG,
2,Bruno Strigini,PERSON,Retire,Novartis,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",ORG,
2,Bruno Strigini,PERSON,For,Personal Reasons,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",CONCEPT,
4,Casino,ORG,Operate_In,France,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",GPE,
4,Casino,ORG,Control,Grupo Pao de Acucar,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",COMP,
4,Casino,ORG,Impact,Profit Growth Forecasts,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",CONCEPT,
4,Casino,ORG,Raise,2017 Group Operating Profit,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",ECON_INDICATOR,
4,Casino,ORG,Positive_Impact_On,2017 Group Operating Profit,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",ECON_INDICATOR,
