idx,subject,subject_type,relation,object,object_type,input,wiki_page
2,Novartis,COMP,Announce,Elizabeth Barrett,PERSON,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,Elizabeth Barrett,PERSON,Control,Novartis Oncology,COMP,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,Elizabeth Barrett,PERSON,Is_Member_Of,Novartis Executive Committee,ORG,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,Elizabeth Barrett,PERSON,Is_Member_Of,"Pfizer, Inc.",COMP,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,"Pfizer, Inc.",COMP,Has,Elizabeth Barrett,PERSON,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,Novartis Oncology,COMP,Is_Member_Of,Novartis,COMP,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,"Pfizer, Inc.",COMP,Operate_In,Oncology,SECTOR,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,Novartis Oncology,COMP,Operate_In,Oncology,SECTOR,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
2,Novartis,COMP,Operate_In,Oncology,SECTOR,"Jan 11 (Reuters) - Novartis says:* Elizabeth (Liz) Barrett, currently Global President Oncology at Pfizer, Inc., has been appointed CEO Novartis Oncology and a member of the Executive Committee of Novartis, effective February 1, 2018* Barrett succeeds Bruno Strigini who decided to retire from Novartis for personal reasons Further company coverage: (Reporting By Zurich newsroom)  [/INST] \n",
7,Bob Fenwick,PERSON,Control,BR Communications,COMP,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,BR Communications,COMP,Produce,Military-communications Equipment,PRODUCT,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
7,Bob Fenwick,PERSON,Has,Hilltop Estate,PRODUCT,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n",
